timestamp,src_ip,dst_ip,attack 
1773509058.3762164,20.192.44.82,192.168.1.34,Normal
1773509058.4005399,192.168.1.34,20.192.44.82,Normal
1773509058.5224395,192.168.1.34,49.128.160.13,Normal
1773509058.5463274,192.168.1.34,49.128.160.13,Normal
1773509058.568483,49.128.160.13,192.168.1.34,Normal
1773509058.592913,49.128.160.13,192.168.1.34,Normal
1773509058.6155086,192.168.1.34,23.98.86.4,Normal
1773509058.7454658,23.98.86.4,192.168.1.34,Normal
1773509058.7718947,192.168.1.34,142.251.220.14,Normal
1773509058.8089046,142.251.220.14,192.168.1.34,Normal
1773509060.237134,192.168.1.1,224.0.0.1,Normal
1773509060.3598664,150.171.22.12,192.168.1.34,Normal
1773509060.387007,192.168.1.34,150.171.22.12,Normal
1773509060.4743443,192.168.1.34,20.207.73.85,Normal
1773509060.4962156,20.207.73.85,192.168.1.34,Normal
1773509060.693811,192.168.1.34,20.42.65.88,Normal
1773509060.7231286,20.42.65.88,192.168.1.34,Normal
1773509062.0326211,52.123.164.67,192.168.1.34,Normal
1773509062.0537844,192.168.1.34,52.123.164.67,Normal
1773509062.214286,192.168.1.34,224.0.0.252,Normal
1773509062.9401011,34.139.124.58,192.168.1.34,Normal
1773509063.091386,192.168.1.34,35.160.8.114,Normal
1773509063.1932902,192.168.1.1,224.0.0.1,Normal
1773509063.3589723,35.160.8.114,192.168.1.34,Normal
1773509064.0201645,192.168.1.34,20.192.44.82,Normal
1773509064.0482688,20.192.44.82,192.168.1.34,Normal
1773509064.1448276,35.160.8.114,192.168.1.34,Normal
1773509064.168153,192.168.1.34,35.160.8.114,Normal
1773509064.8552716,20.42.65.88,192.168.1.34,Normal
1773509064.879911,192.168.1.34,20.42.65.88,Normal
1773509066.1051102,162.159.135.234,192.168.1.34,Normal
1773509066.131036,192.168.1.34,162.159.135.234,Normal
1773509066.5399656,140.82.112.22,192.168.1.34,Normal
1773509066.560619,192.168.1.34,140.82.112.22,Normal
1773509066.5833845,192.168.1.34,10.200.190.27,Normal
1773509066.6071596,192.168.1.34,10.100.43.42,Normal
1773509066.9520054,162.159.130.235,192.168.1.34,Normal
1773509067.0110295,192.168.1.34,162.159.130.235,Normal
1773509067.311402,20.42.65.88,192.168.1.34,Normal
1773509067.3509736,192.168.1.34,20.42.65.88,Normal
1773509068.6675355,192.168.1.34,10.200.190.27,Normal
